transaction_id,client_id,marchand_id,date_heure,jour_semaine,heure_jour,montant_dzd,devise,type_transaction,categorie_marchand,localisation,pays,wilaya_client,canal_paiement,statut,fraude,raison_fraude,montant_anormal_score,heure_inhabituelle,localisation_etrangere,categorie_risquee,ratio_montant_revenu,revenu_client,anciennete_client_jours
TXN_0000000,CLIENT_00089,MARCH_0174,2023-08-19 09:41:00,Saturday,9,3479.79,DZD,PAIEMENT_EN_LIGNE,IMMOBILIER,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,0.311,0,0,1,0.0689,50507.22,1930
TXN_0000001,CLIENT_00563,MARCH_0138,2023-06-15 08:42:00,Thursday,8,5996.35,DZD,ACHAT_CARTE,VOYAGE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,0.856,0,0,1,0.1856,32304.73,1331
TXN_0000002,CLIENT_00717,MARCH_0163,2023-12-05 22:46:00,Tuesday,22,5399.25,DZD,ACHAT_CARTE,HABILLEMENT,Oran,Algérie,Oran,CARTE_PHYSIQUE,ECHOUEE,0,NON,1.181,0,0,0,0.2181,24757.03,349
TXN_0000003,CLIENT_00811,MARCH_0035,2023-10-07 08:12:00,Saturday,8,11406.03,DZD,RETRAIT_DAB,HABILLEMENT,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.121,0,0,0,0.2121,53767.99,3185
TXN_0000004,CLIENT_00478,MARCH_0141,2023-04-08 15:00:00,Saturday,15,6306.87,DZD,PAIEMENT_FACTURE,VOYAGE,Batna,Algérie,Batna,CARTE_PHYSIQUE,REUSSIE,0,NON,0.729,0,0,1,0.1729,36481.8,1290
TXN_0000005,CLIENT_00734,MARCH_0184,2023-05-20 18:57:00,Saturday,18,10588.14,DZD,ACHAT_CARTE,VOYAGE,Constantine,Algérie,Constantine,MOBILE_BANKING,REUSSIE,0,NON,0.978,0,0,1,0.1978,53520.46,1851
TXN_0000006,CLIENT_00128,MARCH_0081,2023-03-19 13:03:00,Sunday,13,5224.9,DZD,ACHAT_CARTE,VOYAGE,Batna,Algérie,Batna,INTERNET_BANKING,REUSSIE,0,NON,0.815,0,0,1,0.1815,28792.24,32
TXN_0000007,CLIENT_00899,MARCH_0199,2023-05-24 13:18:00,Wednesday,13,11699.32,DZD,RETRAIT_DAB,IMMOBILIER,Constantine,Algérie,Constantine,INTERNET_BANKING,REUSSIE,0,NON,1.365,0,0,1,0.2365,49460.31,48
TXN_0000008,CLIENT_00514,MARCH_0014,2023-07-06 15:17:00,Thursday,15,7183.48,DZD,RETRAIT_DAB,SUPERMARCHE,Blida,Algérie,Blida,CARTE_PHYSIQUE,REUSSIE,0,NON,2.203,0,0,0,0.3203,22430.59,2089
TXN_0000009,CLIENT_00957,MARCH_0181,2023-01-28 14:54:00,Saturday,14,3265.23,DZD,PAIEMENT_FACTURE,IMMOBILIER,Constantine,Algérie,Constantine,MOBILE_BANKING,REUSSIE,0,NON,0.228,0,0,1,0.0772,42301.18,1845
